"rating","usermean","moviemean","day"
4,3.28788667062,3.74777032636,"Sat"
5,4.22301588953,3.74595544432,"Fri"
4,3.30755039071,3.74777032636,"Fri"
3,3.091338436,3.74958520839,"Wed"
4,4.05077828332,3.74777032636,"Tue"
3,2.89743364652,3.74958520839,"Thu"
4,3.14462358084,3.91785091768,"Fri"
5,3.22846886415,3.9169767918,"Fri"
1,2.98936190737,3.9204732953,"Sun"
5,4.65905975176,3.9169767918,"Fri"
5,4.55418566841,3.9169767918,"Wed"
5,4.61227408139,3.9169767918,"Mon"
2,3.42959284867,3.91959916942,"Wed"
5,3.85287945599,3.9169767918,"Sun"
5,4.06276812278,3.9169767918,"Thu"
4,3.04256040925,3.91785091768,"Wed"
5,3.44695733215,3.9169767918,"Thu"
4,3.41654508806,3.18989013342,"Tue"
5,3.29328836054,3.18982308233,"Fri"
1,3.73700315179,3.1900912867,"Mon"
5,3.72792272188,3.18982308233,"Mon"
1,3.42891190194,3.1900912867,"Wed"
5,3.77295406719,3.18982308233,"Wed"
2,3.43571520966,3.19002423561,"Fri"
2,3.22953008581,3.19002423561,"Fri"
5,3.77827556034,3.18982308233,"Fri"
1,2.0176679273,3.1900912867,"Sat"
3,4.07192216282,3.18995718451,"Sun"
4,3.11930297407,3.18989013342,"Mon"
3,3.44809754791,3.18995718451,"Wed"
1,3.48567312036,3.1900912867,"Wed"
2,4.10912326557,3.19002423561,"Sat"
4,3.22344290448,3.18989013342,"Tue"
3,3.71255849557,3.18995718451,"Wed"
5,3.42577797,3.18982308233,"Mon"
3,3.53387392529,3.18995718451,"Sun"
3,4.08627106106,3.18995718451,"Mon"
2,4.00446827758,3.19002423561,"Mon"
5,3.8175139406,3.18982308233,"Mon"
3,3.76781816891,3.18995718451,"Fri"
5,3.6521095024,3.18982308233,"Tue"
3,4.01285723329,3.18995718451,"Thu"
5,3.81919547911,3.18982308233,"Tue"
3,3.62585643171,3.18995718451,"Wed"
5,3.67421661271,3.18982308233,"Fri"
3,3.84564266341,3.18995718451,"Fri"
3,4.01463146102,3.18995718451,"Wed"
3,3.26491425282,3.18995718451,"Wed"
4,3.89927935617,3.18989013342,"Tue"
2,3.7311195896,3.19002423561,"Mon"
2,2.93541437327,3.19002423561,"Fri"
4,3.32426804447,3.18989013342,"Mon"
5,4.35036401236,3.18982308233,"Tue"
2,3.54676976608,3.19002423561,"Mon"
1,2.98987493632,3.1900912867,"Sat"
